net_wealth,year,incwage,incinvst,house_value,rent,educ,race,nvehic
12.105483855282337,2001,11.45935913341255,-0,12.440219965443331,0,master or professional degree,white,2
11.52795201018389,2019,12.072642108013474,-0,12.639909042662268,0,college degree,white,3
0,1998,-0,-0,-0,538.6944522153195,college degree,white,0
11.15254866987927,1995,-0,-0,11.15254866987927,0,high-school diploma,black,0
11.361924853252455,2010,-0,-0,11.624062952772208,0,college degree,white,1
13.984857471592015,1992,11.217652821630132,9.843475233882645,12.215320889507911,0,college degree,white,3
15.350793222054357,1995,12.470603023918414,11.563024232722018,12.495107637308667,0,high-school diploma,white,4
12.99098564651548,2001,11.775212082778898,4.579879924974421,13.043418909305721,0,master or professional degree,white,2
8.806170115052579,2013,-0,-0,-0,314.13197408638763,college degree,other,0
-8.024326116583842,2016,-0,-0,-0,790.6113938416073,high-school diploma,white,1
12.280480219136777,2001,-0,-0,11.819643477724108,0,college drop-out,black,4
13.123730286685637,2010,12.521713921320982,8.106897554684526,13.051179308347,0,master or professional degree,white,2
14.860245563316484,1989,-0,11.931188083855798,11.916530530383339,0,master or professional degree,other,2
-6.8812744536502235,1995,11.266630219741405,-0,8.745603586699549,0,college degree,white,1
12.212924543427985,1989,11.780830302282439,4.808603077673997,12.32199563845415,0,master or professional degree,white,2
14.904850757671532,2001,-0,9.513448989700029,12.289647106961082,0,college degree,white,1
11.953086884546527,2010,11.508094845573938,-0,11.510734267479512,0,master or professional degree,white,2
-8.748579832388865,2010,11.227792880495683,-0,-0,687.381049803089,high-school diploma,white,1
13.665958496887196,2013,12.156526747281882,4.636928193450524,13.49162110985932,0,high-school diploma,white,2
13.57196267396533,2013,12.42005835949007,11.321446070952328,14.184768290417834,0,college drop-out,white,2
9.249504369320066,2010,11.03363686613865,-0,-0,665.2074675531976,college degree,white,2
-9.695091861478222,2010,-0,-0,12.309241963617184,0,high-school diploma,white,1
12.715899447977193,2013,11.806953886642907,4.636928193450524,-0,413.33154484753857,master or professional degree,other,1
13.645947549319692,1998,-0,-0,12.54677401464764,0,college degree,white,2
15.242459373291931,2013,12.574209039313006,11.365462956356742,14.184768290417834,0,master or professional degree,white,2
11.207717568001645,2013,11.693009627307905,-0,-0,1033.3288621188465,high-school diploma,white,2
5.8535245626053225,2007,11.230896736326207,-0,-0,492.48662731177194,college drop-out,white,1
